REGISTRO_ANIO;REGISTRO_NUMERO;REGISTRO_FECHA;RESPONSABLE_DOCUMENTO;MASCOTA_TIPO;MASCOTA_SEXO;MASCOTA_NOMBRE;MASCOTA_RAZA;MASCOTA_ULTIMA_VACUNA;MASCOTA_ULTIMA_DESPARACITACION;CAMPANIA;LATITUD;LONGITUD;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;FECHA_CORTE
2023;8544;20230804;5070fafa1c17254e39f7d5a208bea790fcf7e77216c686e2e4248915ac505b63;PERRO;MACHO;LUKY;SCHNAUZER ESTANDAR;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8545;20230804;31f4dcecd3842cdf33c14289fb0a52d97cd50577cfb7fbbb785e702b07627895;PERRO;MACHO;OSO;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8546;20230804;ca4119967e0be5a7c853624ef06053cd16606d644d694318d466a10b8f51cfd5;PERRO;MACHO;BENJI;SHIH TZU;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8547;20230804;92cc42184e2a64a39a3f9bdf7daa016ac2468104f303d7d9560b95ced9f9a39e;PERRO;MACHO;MADARA;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8548;20230804;c4becc405061cc5c7eb31ebb1a85cb2d21589fd49cd604d956c9c086c1d5cad2;PERRO;MACHO;CESAR;AIREDALE TERRIER;20230204;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8549;20230804;c4becc405061cc5c7eb31ebb1a85cb2d21589fd49cd604d956c9c086c1d5cad2;PERRO;HEMBRA;MARYJANE;PERUANO SIN PELO;20230804;20230204;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8550;20230804;2d4b7a01c018a2bf51286c167e2b80a91b75edac42eb8056465eff89dd650b71;PERRO;HEMBRA;CARRY;SHIH TZU;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8551;20230804;17fa096f30d86273a144c6217fe25ca1b8e5cae45c8d8b1600852f8ec09fcf79;PERRO;MACHO;GIANLUCA;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8552;20230804;0f9a699c0bf79a07361fd748e09e933732de419b8710c0c96835cdf1b1c580c4;PERRO;HEMBRA;LAYKA;SHIH TZU;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8553;20230804;88ba12feea3d688c8dfe22499252be96c74d553d860d375ee06b0f99f92d5e07;PERRO;HEMBRA;CANELITA;AIREDALE TERRIER;20230804;20230804;CHORRIPATITAS - LOSA DEPORTIVA DE SANTA TERESA DE ;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
2023;8554;20230804;05e82be34b22e3b16c8db7b88230f2647507cd0524cc3a5b272fcc3c35e953e5;PERRO;HEMBRA;SOFFIE;AIREDALE TERRIER;20230815;20231215;CHORRIPATITAS - LOSA PEDRO RUIZ GALLO;-12.1860537;-77.0085029;LIMA;LIMA;CHORRILLOS;150102;20240422
